Urban Center,Population,Area (2016),Population Density,Cost of Living Index (2016),Built-up areas per capita,Road Length per capita (2017),Pedestrian Streets per capita,Rapid Transit to Resident Ratio (RTR),Modal split (Passenger) - by trips - Car (2017),Modal split (Passenger) - by trips - Public Transport (2017),Traffic Index (2018),Average travel speed (2019),Percentage Access to Public Transport,Share of population with access to open public spaces (2020),Surface transport SOx Concentration,Surface transport NOx Concentration,Oxford Economics Global Cities Index (Rank),Oxford Economics Global Cities Index (Economics),Oxford Economics Global Cities Index (Human Capital),Oxford Economics Global Cities Index (Quality of Life),Oxford Economics Global Cities Index (Environment),Oxford Economics Global Cities Index (Governance)
Kabul,4273156.0,321.0,12921.882,,48.86812791951132,0.9983773121605289,2.036670424736643,,0.177,0.4960000000000001,,,0.0,0.1304331781258056,,,979.0,567.0,687.0,977.0,933.0,1000.0
Melbourne,4529500.0,1610.0,3835.8025,79.04,611.5948184327883,2.49037769492844,5360.640660815458,,0.8,0.14,162.09,25.67382794,0.0113560721113775,0.8442671865187527,0.0244695892742132,0.0921461352125652,9.0,16.0,11.0,185.0,30.0,18.0
Sydney,4840600.0,1356.0,4864.0645,85.98,453.6807278742763,5.49485356392446,4372.75737371822,21.2399310704123,0.6900000000000001,0.11,186.13,28.69673142,0.237536271640969,0.3337863065844215,0.0089149015576843,0.0405907040740809,16.0,19.0,9.0,230.0,363.0,18.0
Chattogram,7000000.0,799.0,7598.519,,,0.4884173992186399,27.28119478386051,,,,,18.83851369,0.0,0.647580854289076,,,823.0,705.0,657.0,799.0,740.0,887.0
Dhaka,18627000.0,,18936.223,36.95,32.35078917110902,0.2304942796219881,201.1288712244726,,,,,,0.0352919031333382,0.2295268963256791,0.145846356287844,1.16327092047425,540.0,309.0,170.0,794.0,890.0,887.0
Beijing,18522000.0,2115.0,15318.875,51.02,226.8707302865011,0.3853821673095012,412.0417589623298,37.3667279411764,0.21,0.26,214.18,,0.35368120489798,,0.0377527657083892,1.21947518580114,217.0,142.0,24.0,367.0,769.0,637.0
Chengdu,14645000.0,1326.0,17588.625,37.25,128.8625466169419,0.6449695355567093,886.7523847588707,53.2443117117504,0.11,0.15,,,0.455593556131133,0.3363584402635595,0.0519572359461639,2.38932240007593,337.0,121.0,267.0,468.0,799.0,637.0
Chongqing,12135000.0,487.0,12552.976,,124.8715719592192,0.7506507933415674,1019.042788206314,21.1060630181608,0.206,0.326,,,0.277935894148694,0.3293876892852345,,,381.0,161.0,316.0,535.0,867.0,637.0
Guangzhou,26940000.0,6622.0,20818.209,44.46,167.5209262878425,1.097897365649487,688.167013996418,40.8036776477154,0.21,0.32,,,,0.1722449393013646,0.0955247236264893,2.16887743258253,265.0,99.0,58.0,588.0,668.0,637.0
Shanghai,24073000.0,,22157.615,55.12,180.226270692954,1.290073771642434,619.9939433583793,34.6720590567642,0.2,0.33,188.93,,0.351236577236723,0.2991363038058126,0.0801553425057595,2.8709278175027,278.0,90.0,85.0,405.0,883.0,637.0
