Urban Center,Population,Area (2016),Population Density,Cost of Living Index (2016),Built-up areas per capita,Road Length per capita (2017),Pedestrian Streets per capita,Rapid Transit to Resident Ratio (RTR),Modal split (Passenger) - by trips - Car (2017),Modal split (Passenger) - by trips - Public Transport (2017),Traffic Index (2018),Average travel speed (2019),Percentage Access to Public Transport,Share of population with access to open public spaces (2020),Surface transport SOx Concentration,Surface transport NOx Concentration,Oxford Economics Global Cities Index (Rank),Oxford Economics Global Cities Index (Economics),Oxford Economics Global Cities Index (Human Capital),Oxford Economics Global Cities Index (Quality of Life),Oxford Economics Global Cities Index (Environment),Oxford Economics Global Cities Index (Governance)
Yerevan,1075800.0,191.0,11181.5801223017,34.39,313.8910207214121,3.383047231932768,593.5969939705988,11.2049963262307,,,106.91,,0.145237397712662,0.4715151443245935,,,437.0,441.0,401.0,492.0,631.0,510.0
Baku,2300500.0,332.0,13622.8650103013,30.33,403.0646235842772,1.111694531442436,980.801775078133,14.6163575042158,,,122.29,33.83016803,0.207985944641715,,,,404.0,571.0,258.0,351.0,569.0,837.0
Phnom Penh,2129371.0,263.0,22747.8375262862,49.22,140.2550091074681,1.966737762057766,4246.354796559193,,,,,,0.0,0.1366697959434136,,,687.0,671.0,394.0,786.0,688.0,847.0
Changchun,4408154.0,409.0,49267.0078529278,,241.5116622379687,4.990133407749451,189.932548669518,16.603230803275,0.2,0.33,,,0.393301078999725,,,,716.0,780.0,872.0,437.0,851.0,637.0
Changsha,4766296.0,422.0,70546.4393202164,,148.8647581441264,1.226752271073792,380.2820694990918,30.4074232081911,,,,,0.411611113135995,,,,497.0,391.0,525.0,460.0,808.0,637.0
Dalian,5871474.0,557.0,49035.6322396673,,249.9401484318889,0.5520063133646249,419.5766293193045,45.600124917589,,0.43,,,0.155324902325677,,0.0065324723345329,0.993485648393459,566.0,569.0,643.0,446.0,766.0,637.0
Dongguan,10646000.0,,,,163.5822561145727,,,5.03943323085149,0.4,0.6,,0.0,,,,,389.0,185.0,376.0,598.0,672.0,637.0
Fuzhou,4047200.0,68.0,77636.5285394942,,166.2580788945843,4.357444491688531,795.1573820494568,20.9661989795918,,,,,0.0,,0.0053174838118261,0.159978263672952,405.0,222.0,411.0,615.0,661.0,637.0
Hangzhou,9523000.0,1679.0,28323.5425942218,,139.7379912663756,0.6761437872413111,1575.631531057687,54.4676830358282,,,,,0.307477111542297,0.2051286532281397,0.067659612206006,1.48467540287501,286.0,62.0,158.0,430.0,837.0,637.0
Harbin,3830000.0,457.0,63453.8876590482,,173.4298268286379,0.5673627796458771,293.1227076930516,10.0015330369461,,,,,0.260666255829655,,,,586.0,635.0,616.0,449.0,847.0,637.0
Hefei,4216940.0,566.0,80365.4892322124,,176.9596199524941,1.078165382304971,2366.927980125971,36.6937333700339,0.42,0.246,,,0.369503105976931,,,,378.0,184.0,285.0,513.0,869.0,637.0
Jinan,5606374.0,529.0,35818.355185799,,229.7263988168598,0.5692923145954223,1432.529335644444,22.8295644586635,,,,,0.0706949919727376,0.2608351042811771,,,466.0,223.0,764.0,403.0,848.0,637.0
Kunming,4422686.0,364.0,48131.1390788574,,171.1711711711712,1.001785026649812,841.0698019013839,30.3590285110876,0.221,0.252,,,0.404583904805996,,,,461.0,233.0,674.0,645.0,505.0,637.0
Nanjing,8422000.0,629.0,52980.772712031,,189.726107911132,3.551913811794692,741.7624303827987,41.1079165112042,,,,,0.180534244141141,,0.0448617922071237,1.65554759447823,328.0,148.0,130.0,474.0,946.0,637.0
Ningbo,4087523.0,578.0,36430.8044749589,,215.149441022131,6.736736335651542,498.1691069931388,42.7380615993218,0.15,0.66,,,0.341503485105548,,,,444.0,250.0,625.0,450.0,783.0,637.0
Qingdao,5818255.0,598.0,31605.4133603815,,279.6057860435543,0.5238940065555874,1700.619065091649,48.6793504773851,,,,,0.364183727295434,0.284888974835598,0.0386232132900556,1.19676715892909,367.0,197.0,336.0,401.0,760.0,637.0
Shenyang,7964000.0,548.0,47374.1006357965,,192.8145201392342,0.5378784079086132,206.9359387813696,15.6835078960221,,,,,0.292593373586707,,,,603.0,656.0,654.0,494.0,802.0,637.0
Shijiazhuang,4098243.0,586.0,26049.6149799174,,227.5897700852493,3.43053566161215,,17.8243056548044,0.05,0.0716,,,0.231068748297229,,,,623.0,333.0,882.0,516.0,938.0,637.0
Suzhou,5352924.0,59.0,43013.8636547607,39.46,227.5488425545887,0.614809497176287,,28.3399777615057,,,,,0.273877630452777,,,,325.0,92.0,220.0,462.0,910.0,637.0
Taiyuan,3875053.0,375.0,55915.9934531152,,174.8569173080718,0.6347266114480102,,5.93889979364839,,,,,0.146247253655325,,,,490.0,303.0,513.0,548.0,882.0,637.0
