ATO UC Code,Urban Center,Indicator code,Indicator name,Indicator source,Units,Header,Year,Value
AFG-2,Kabul,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,3650000
AUS-3,Melbourne,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,3955000
AUS-5,Sydney,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,4070000
BGD-4,Chattogram,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,3250000
BGD-7,Dhaka,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,16235000
CHN-6,Beijing,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,20390000
CHN-13,Chengdu,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,10680000
CHN-14,Chongqing,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,7440000
CHN-23,Guangzhou,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,18760000
CHN-63,Shanghai,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,22685000
CHN-64,Shenzhen,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,12240000
CHN-78,Xiamen,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,4715000
HKG-1,Hong Kong,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,7280000
IND-13,Bengaluru,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,10165000
IND-21,Chennai,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,9985000
IND-24,Delhi [New Delhi],SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,25735000
IND-52,Kolkata,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,14810000
IND-67,Mumbai,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,22885000
IDN-11,Jakarta,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,31320000
IRN-12,Tehran,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,13670000
JPN-1,Fukuoka,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,2645000
JPN-11,Osaka [Kyoto],SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,16985000
JPN-12,Sapporo,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,2395000
JPN-16,Tokyo,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,37750000
MYS-5,Kuala Lumpur,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,7365000
NZL-1,Auckland,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,1370000
PAK-7,Lahore,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,10355000
PHL-7,Metro Manila,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,22930000
KOR-1,Busan,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,3885000
KOR-8,Seoul,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,23575000
RUS-9,Moscow,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,16570000
RUS-14,Saint Petersburg,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,5140000
SGP-1,Singapore,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,5725000
TWN-2,Kaohsiung,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,2540000
THA-1,Bangkok,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,15315000
VNM-4,Hanoi,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,7445000
VNM-5,Ho Chi Minh City,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,10075000
ARG-1,Buenos Aires,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,14280000
BRA-3,São Paulo,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,20605000
CAN-1,Toronto,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,6550000
COL-1,Bogota,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,9520000
EGY-2,Cairo,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,15910000
FRA-1,Paris,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,10870000
DEU-1,Berlin,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,4085000
IRQ-1,Baghdad,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,6790000
ITA-1,Milan,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,5270000
MEX-2,Mexico City,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,20230000
