ATO UC Code,Urban Center,Indicator code,Indicator name,Indicator source,Units,Header,Year,Value
AFG-2,Kabul,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,3650000
ARM-1,Yerevan,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,1325000
AUS-3,Melbourne,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,3955000
AUS-5,Sydney,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,4070000
AZE-1,Baku,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,2725000
BGD-4,Chattogram,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,3250000
BGD-7,Dhaka,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,16235000
KHM-1,Phnom Penh,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,1860000
CHN-6,Beijing,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,20390000
CHN-9,Changchun,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,3435000
CHN-10,Changsha,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,3775000
CHN-13,Chengdu,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,10680000
CHN-14,Chongqing,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,7440000
CHN-16,Dalian,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,4300000
CHN-19,Dongguan,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,8260000
CHN-22,Fuzhou,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,4080000
CHN-23,Guangzhou,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,18760000
CHN-28,Hangzhou,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,7605000
CHN-29,Harbin,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,4915000
CHN-30,Hefei,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,3730000
CHN-40,Jinan,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,3890000
CHN-43,Kunming,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,3730000
CHN-51,Nanjing,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,6380000
CHN-55,Ningbo,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,3895000
CHN-58,Qingdao,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,5970000
CHN-63,Shanghai,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,22685000
CHN-64,Shenzhen,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,12240000
CHN-65,Shenyang,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,6200000
CHN-66,Shijiazhuang,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,3535000
CHN-67,Suzhou,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,5380000
CHN-68,Taiyuan,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,3775000
CHN-72,Tianjin,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,11260000
CHN-73,Ürümqi,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,3310000
CHN-76,Wuhan,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,7620000
CHN-78,Xiamen,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,4715000
CHN-94,Zhengzhou,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,5755000
GEO-1,Tbilisi,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,1100000
HKG-1,Hong Kong,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,7280000
IND-3,Ahmedabad,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,7410000
IND-13,Bengaluru,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,10165000
IND-21,Chennai,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,9985000
IND-24,Delhi [New Delhi],SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,25735000
IND-41,Hyderabad (India),SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,7750000
IND-44,Jaipur,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,3485000
IND-52,Kolkata,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,14810000
IND-59,Lucknow,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,3260000
IND-67,Mumbai,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,22885000
IND-73,Patna,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,2240000
IND-77,Pune,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,5785000
IND-88,Surat,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,5685000
IDN-3,Bandung,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,5780000
IDN-11,Jakarta,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,31320000
IDN-32,Surabaya,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,4930000
IRN-4,Isfahan,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,2435000
IRN-7,Mashhad,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,3370000
IRN-10,Shiraz,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,1935000
IRN-11,Tabriz,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,1715000
IRN-12,Tehran,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,13670000
JPN-1,Fukuoka,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,2645000
JPN-3,Hiroshima,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,1380000
JPN-8,Nagoya,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,10035000
JPN-11,Osaka [Kyoto],SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,16985000
JPN-12,Sapporo,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,2395000
JPN-13,Sendai,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,1390000
JPN-16,Tokyo,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,37750000
KGZ-1,Bishkek,SEC-UDB-001,Population,(3) Oke et.al. (2019) (Demographia),Number,Series,2017,860000
